,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Acre,483593,500185.0,514050.0,527937.0,557882,574355,586942,600595,630328,669736,686652,680075,691132,733559,746386,758786,776463,790101,803513,816687,829619,869265,881935,894470,906876,830018
Alagoas,2633251,2663071.0,2688117.0,2713203.0,2827856,2856629,2887535,2917664,2980910,3015912,3050652,3127560,3156108,3120494,3143384,3165472,3300935,3321730,3340932,3358963,3375823,3322820,3337357,3351543,3365351,3127683
Amapa,379459,401916.0,420834.0,439781.0,477032,498735,516511,534835,547400,594587,615715,613166,626609,669526,684309,698602,734996,750912,766679,782295,797722,829494,845731,861773,877613,733759
Amazonas,2389279,2460602.0,2520684.0,2580860.0,2817252,2900240,2961801,3031068,3138726,3232330,3311026,3341094,3393369,3483985,3538387,3590985,3807921,3873743,3938336,4001667,4063614,4080611,4144597,4207714,4269995,3941613
Bahia,12541675,12709744.0,12851268.0,12993011.0,13085769,13214114,13323212,13435612,13682074,13815334,13950146,14502563,14637364,14016906,14097534,14175341,15044137,15126371,15203334,15276566,15344447,14812617,14873064,14930634,14985284,14141626
Brasil,157070163,159636413.0,161790311.0,163947554.0,169872856,172385826,174632960,176871437,181569056,184184264,186770562,189605006,191480630,190755799,192379287,193904015,201032714,202768562,204450049,206081432,207660929,208494900,210147125,211755692,213317639,203080756
Ceara,6809290,6920292.0,7013376.0,7106605.0,7431597,7547620,7654535,7758441,7976563,8097276,8217085,8450528,8547809,8452381,8530155,8606005,8778576,8842791,8904459,8963663,9020460,9075649,9132078,9187103,9240580,8794957
Centro-oeste,10500579,10769249.0,10994821.0,11220742.0,11638658,11885529,12101540,12317271,12760734,13020767,13269517,13695949,13895375,14058094,14244192,14419229,14993191,15219608,15442232,15660988,15875907,16085885,16297074,16504303,16707336,16289538
Distrito federal,1821946,1877015.0,1923406.0,1969868.0,2051146,2097447,2145839,2189789,2282049,2333108,2383784,2557159,2606885,2570160,2609998,2648532,2789761,2852372,2914830,2977216,3039444,2974703,3015268,3055149,3094325,2817381
Espirito santo,2802707,2853098.0,2895547.0,2938062.0,3097498,3155016,3201722,3250219,3352024,3408365,3464285,3453646,3487199,3514952,3547055,3578067,3839366,3885049,3929911,3973697,4016356,3972388,4018650,4064052,4108508,3833712
Goias,4514967,4639785.0,4744174.0,4848725.0,5004197,5116462,5210335,5306459,5508245,5619917,5730753,5844995,5926300,6003788,6080716,6154996,6434048,6523222,6610681,6695855,6778772,6921161,7018354,7113540,7206589,7056495
Maranhao,5222183,5295452.0,5356853.0,5418349.0,5657552,5730467,5803224,5873655,6021504,6103327,6184538,6305537,6367138,6574789,6645761,6714314,6794301,6850884,6904241,6954036,7000229,7035055,7075181,7114598,7153262,6776699
Mato grosso,2235832,2287846.0,2331663.0,2375549.0,2505245,2560584,2604742,2651335,2742646,2803274,2856999,2957735,3001692,3035122,3075936,3115336,3182113,3224357,3265486,3305531,3344544,3441998,3484466,3526220,3567234,3658649
Mato grosso do sul,1927834,1964603.0,1995578.0,2026600.0,2078070,2111036,2140624,2169688,2227794,2264468,2297981,2336060,2360498,2449024,2477542,2500365,2587269,2619657,2651235,2682386,2713147,2748023,2778986,2809394,2839188,2757013
Minas gerais,16672613,16904977.0,17100314.0,17295955.0,17905134,18127096,18343517,18553312,18993720,19237450,19479356,19850060,20033665,19597330,19728701,19855332,20593356,20734097,20869101,20997560,21119536,21040662,21168791,21292666,21411923,20539989
Nordeste,44766851,45334385.0,45811342.0,46289042.0,47782487,48331186,48845112,49352225,50424713,51019091,51609027,53080679,53591197,53081950,53501859,53907144,55794707,56186190,56559481,56915936,57254159,56760780,57071654,57374243,57667842,54658515
Norte,11288259,11604158.0,11868725.0,12133705.0,12911170,13245084,13504599,13784881,14373260,14698878,15022060,15142686,15359608,15864454,16095187,16303145,16983484,17231027,17472636,17707783,17936201,18182253,18430980,18672591,18906962,17354884
Para,5510849,5650681.0,5768476.0,5886454.0,6195965,6341736,6453683,6574993,6850181,6970586,7110465,7321490,7431020,7581051,7688593,7777543,7969654,8073924,8175113,8272724,8366628,8513497,8602865,8690745,8777124,8120131
Paraiba,3305616,3331673.0,3353624.0,3375609.0,3444794,3468594,3494893,3518595,3568350,3595886,3623215,3742604,3769977,3766528,3791315,3815171,3914421,3943885,3972202,3999415,4025558,3996496,4018127,4039277,4059905,3974687
Parana,9003804,9142215.0,9258813.0,9375592.0,9564643,9694709,9798006,9906866,10135388,10261856,10387378,10590171,10686247,10444526,10512349,10577755,10997465,11081692,11163018,11242720,11320892,11348937,11433957,11516840,11597484,11444380
Pernambuco,7399071,7466773.0,7523755.0,7580826.0,7929154,8008207,8084667,8161862,8323911,8413593,8502603,8734196,8810256,8796448,8864906,8931028,9208550,9277727,9345173,9410336,9473266,9496294,9557071,9616621,9674793,9058931
Piaui,2673085,2695876.0,2714999.0,2734152.0,2843428,2873010,2898223,2923725,2974698,3006885,3036290,3111881,3145325,3118360,3140328,3160748,3184166,3194718,3204028,3212180,3219257,3264531,3273227,3281480,3289290,3271199
Rio de janeiro,13406308,13555657.0,13681410.0,13807358.0,14392106,14558545,14724475,14879118,15203750,15383407,15561720,15872362,16010429,15989929,16112678,16231365,16369179,16461173,16550024,16635996,16718956,17159960,17264943,17366189,17463349,16055174
Rio grande do norte,2558660,2594340.0,2624397.0,2654501.0,2777509,2815244,2852784,2888058,2962107,3003087,3043760,3106436,3137541,3168027,3198657,3228198,3373959,3408510,3442175,3474998,3507003,3479010,3506853,3534165,3560903,3302729
Rio grande do sul,9634688,9762110.0,9866928.0,9971910.0,10187842,10309819,10408540,10510992,10726063,10845087,10963219,10855228,10914128,10693929,10733030,10768025,11164043,11207274,11247972,11286500,11322895,11329605,11377239,11422973,11466630,10882965
Rondonia,1229306,1255522.0,1276173.0,1296856.0,1380952,1407886,1431777,1455907,1562085,1534594,1562417,1493565,1503928,1562409,1576455,1590011,1728214,1748531,1768204,1787279,1805788,1757589,1777225,1796460,1815278,1581196
